Very well done! A respected Scholar in our medical expert network reviewed your Tip and thinks you are right.	¡Muy bien hecho! Un becario respetado en nuestra red de expertos médicos revisó tu Tip y cree que estás en lo cierto.
Very well done! A respected Scholar in our medical expert network reviewed your answer and thinks you are right.	¡Muy bien hecho! Un becario respetado en nuestra red de expertos médicos revisó tu respuesta y cree que estás en lo cierto.
Well done! Another doctor in our medical expert network thinks you’re right.	¡Bien Hecho! Otro doctor en nuestra red de expertos médicos piensa que estás en lo correcto.
Continue publishing great posts to help increase your DocScore and distinguish yourself as a leading expert in your community.	Continúa publicando grandes publicaciones para ayudar a incrementar tu DocScore y distinguirte a ti mismo como un experto líder en tu comunidad.
Continue to provide great tips and answers to help increase your DocScore and distinguish yourself as a leading expert in your community.	Continúa brindando grandes tips para ayudar a incrementar tu DocScore y distinguirte a ti mismo como un experto líder en tu comunidad.
Have more to share?	¿Tienes más para compartir?
on a health topic or issue of your choice.	en un tema de salud o situaciób de tu preferencia.
Thanks,	Gracias,
Welcome to HealthTap! We’re so glad you made it. To help you get started, we made a little list of all the things you can do and learn using HealthTap.	¡Bienvenido a HealthTap! Estamos contentos de que lo hayas logrado. Para ayudarte a empezar, hicimos una pequeña lista de todas las cosas que puedes hacer y aprender usando HealthTap.
Here we go:	Aquí vamos:
Ask health questions and get free answers from the best doctors in the country 	Haz preguntas y obtén repuestas gratis de los mejores doctores en el país. 
Learn about specific health topics with our topics pages	Aprende acerca de temas de salud específicas con nuestras páginas temáticas.
Prepare for in-person doctor’s appointments and consolidate all your important health information into one safe, secure place by filling out your profile	Prepárate para citas con doctores en persona y consolida tu información de salud importante en un lugar seguro, confiable completando tu perfil.
Start a private conversation with a specific doctor using HealthTap’s House Calls 	Empieza una conversación privada con un doctor específico usando Llamadas de Casa de HealthTap 
Discover new, highly rated local doctors 	Descrubre dcotores localesnuevos, altamente calificados. 
Schedule appointments and research practices online	Agenda citas e investiga acerca de consultorios en línea
Get started on HealthTap now.	Empieza en HealthTap
Member Guides	Guías de Miembros
and get free answers from the best doctors in the country	y obtén repuestas gratis de los mejores doctores en el país.
Learn about specific health topics with our	Aprende acerca de temas de salud con nuestra
Prepare for in-person doctor’s appointments and consolidate all your important health information into one safe, secure place by	Prepárate para citas con doctores en persona y consolida tu información de salud importante en un lugar seguro, confiable
with a specific doctor using HealthTap’s House Calls	con un doctor específico usando Llamadas de Casa de HealthTap
Schedule appointments and	agenda citas y
+2 √points	+2 √puntos
Success rate for the prior day's calls for 24 - 48hrs inbox consults	La tasa de exito de las llamadas del dia anterior para consultas de buzón de voz de 24 - 48hrs
⌛ [Pending] Doctors with Inbox Consults for 0hrs - 24hrs	⌛ [Pendiente] Doctores con consultas de buzón de voz de 0hrs - 24hrs
Consult ID	ID de Consulta:
Expert Cell Phone	Número de Celular del Experto
Expert Email	Correo electrónico del Experto
SYOP ACTIVE	SYOP ACTIVP
Patient ID	ID del paciente
