Very well done! A respected Scholar in our medical expert network reviewed your Tip and thinks you are right.	做的非常好！一位受人尊敬的学者在我们的医学专家网络评审了您的小贴士,并认为您的做法是对的。
Very well done! A respected Scholar in our medical expert network reviewed your answer and thinks you are right.	做的非常好！一位受人尊敬的学者在我们的医学专家网络评审了您的答案,并认为您的做法是对的。
Well done! Another doctor in our medical expert network thinks you’re right.	很好！我们的医疗专家网络中的另一位医生认为您是对的。
Continue publishing great posts to help increase your DocScore and distinguish yourself as a leading expert in your community.	请继续在您的社区发表好文章以帮助增加你DocScore和提高自己作为主要专家的区分度。
Continue to provide great tips and answers to help increase your DocScore and distinguish yourself as a leading expert in your community.	请继续在您的社区提供好的小贴士和答案以帮助增加你DocScore和自己作为主要专家的区分度。
Have more to share?	有更多分享？
on a health topic or issue of your choice.	关于您选择的健康主题或问题。
Thanks,	谢谢，
Welcome to HealthTap! We’re so glad you made it. To help you get started, we made a little list of all the things you can do and learn using HealthTap.	欢迎来到HealthTap！我们很高兴您做到了。为了帮助您开始,我们做了您可在HealthTap上做的所有事情和学习使用的一个小列表。
Here we go:	开始：
Ask health questions and get free answers from the best doctors in the country 	提出健康问题，并免费从国内最好的医生获得答案 
Learn about specific health topics with our topics pages	通过我们的主题页面了解具体的健康主题
Prepare for in-person doctor’s appointments and consolidate all your important health information into one safe, secure place by filling out your profile	为准备现场医生的预约,您需要将您所有重要的健康信息合并到一个安全的地方填写你的资料。
Start a private conversation with a specific doctor using HealthTap’s House Calls 	使用HealthTap家庭电话与医生进行私人对话。 
Discover new, highly rated local doctors 	发现新的，被高度评价的当地医生 
Schedule appointments and research practices online	在线安排预约和研究实践
Get started on HealthTap now.	立刻开始使用HealthTap。
Member Guides	会员指南
and get free answers from the best doctors in the country	并免费从国内最好的医生获得答案
Learn about specific health topics with our	与我们一起了解具体的健康主题
Prepare for in-person doctor’s appointments and consolidate all your important health information into one safe, secure place by	为准备现场医生的预约,您需要将您所有重要的健康信息合并到一个安全的地方填写您的资料
with a specific doctor using HealthTap’s House Calls	与一个特定的医生使用HealthTap的House Calls
Schedule appointments and	安排预约和
+2 √points	+2 √积分
Success rate for the prior day's calls for 24 - 48hrs inbox consults	前一天的电话成功率为24 - 48小时收件箱咨询
⌛ [Pending] Doctors with Inbox Consults for 0hrs - 24hrs	⌛ [待定]医生收件箱咨询为0小时 - 24小时
Consult ID	咨询ID
Expert Cell Phone	专家手机
Expert Email	专家邮箱
SYOP ACTIVE	停止活动
Patient ID	患者ID
Inbox Start Time	收件箱开始时间
Inbox Start Time(Expert)	收件箱开始时间（专家）
To Care Team	到医疗团队
is VIP?	是VIP吗？
Inbox Completion Ratio	收件箱完成率
Inbox Success Ratio	收件箱成功率
careteam doctors	护理团队医生
requested doctors	请求医生
⌛ [Pending] Doctors with Inbox Consults for 24hrs - 48hrs	⌛ [待定]医生收件箱咨询为24小时 - 48小时
⌚ [Expired] Doctors with Inbox Consults for 48hrs - 72hrs	⌚ [过期] 医生收件箱咨询为48小时 - 72小时
⌘ Doctors with Real Patient Appointment in Next 24 Hours	⌘ 医生与实际患者预约在接下来的24小时
(who haven't successfully had appointment before)	（以前没有成功预约）
Appointment ID	预约ID
Appointment Time	预约时间
Appointment Time(Expert)	预约时间（专家）
⌘ Doctors Who Already Missed Appointments in Last 24 Hours	⌘ 医生在过去24小时内已经错过的预约
Trophies are awarded to our most engaged doctors on HealthTap. By earning more trophies, you will gain recognition and showcase your expertise and compassion to millions who are seeking your expertise on HealthTap.	奖杯颁发给我们在HealthTap最热爱的医生。赢得更多的奖杯，您会得到认可和向HealthTap上数以百万计的人寻找您专业知识的用户展示您的医者之心。
Happy tapping,	愉快的点击，
By unlocking more medals you will gain recognition and showcase your expertise and compassion.	通过解锁更多的奖牌，您会得到认可，也将展示您的专业知识和同情心。
